Student ID,Age,Math Score,Science Score,English Score,Hours Studied,Pass Fail
1,24,39,67,73,4,1
2,21,58,77,79,5,0
3,22,83,73,70,4,0
4,24,36,51,70,8,1
5,20,81,85,69,8,1
6,22,60,90,73,1,0
7,22,72,63,70,3,0
8,24,74,47,81,4,0
9,19,71,79,75,2,0
10,20,52,61,73,5,1
11,24,59,76,71,8,1
12,20,43,96,62,2,0
13,20,72,51,71,9,0
14,22,90,60,65,7,1
15,21,37,67,75,6,1
16,20,53,85,69,8,1
17,23,62,100,88,2,1
18,22,67,72,59,5,0
19,19,78,50,40,4,0
20,21,62,65,74,8,0
21,23,60,60,65,1,0
22,23,81,78,73,3,1
23,19,74,74,59,10,1
24,21,73,57,91,8,0
25,22,66,59,68,5,0
26,18,79,65,64,4,1
27,21,55,67,90,6,0
28,19,53,69,80,5,1
29,23,76,70,85,3,0
30,22,40,84,70,5,1
31,21,66,65,72,4,1
32,18,60,63,66,1,0
33,18,43,53,64,1,1
34,20,51,67,75,7,1
35,20,63,73,68,4,0
36,24,80,49,94,1,0
37,19,55,65,80,6,1
38,21,83,83,90,1,0
39,21,65,77,49,8,1
40,24,84,74,90,9,1
41,23,55,77,48,3,0
42,23,64,63,59,7,0
43,24,70,61,54,5,0
44,23,62,85,74,3,0
45,20,79,79,71,5,0
46,21,31,61,79,10,1
47,24,100,47,71,7,1
48,21,77,61,84,7,1
49,18,62,76,62,9,1
50,20,56,62,84,8,1
51,22,52,73,71,4,0
52,20,74,87,95,5,0
53,24,79,68,80,5,1
54,22,62,72,68,10,1
55,18,81,78,71,2,0
56,24,51,57,61,7,0
57,19,48,60,75,7,0
58,21,92,78,68,9,1
59,18,73,70,79,9,1
60,21,85,71,58,4,0
61,23,52,70,68,5,0
62,19,51,81,60,7,1
63,19,59,75,61,10,1
64,18,52,75,78,7,0
65,19,75,84,83,10,1
66,22,53,89,48,8,1
67,19,47,96,90,8,1
68,21,67,63,86,2,0
69,21,45,99,58,9,1
70,24,38,56,80,4,1
71,21,66,93,67,1,1
72,24,38,62,71,1,1
73,21,76,69,78,5,1
74,22,44,70,76,7,0
75,24,31,59,66,5,0
76,20,60,71,66,3,0
77,23,67,60,66,7,1
78,18,72,55,83,1,0
79,21,67,69,53,1,0
80,19,49,89,70,2,1
81,21,75,66,87,1,1
82,19,79,81,79,9,1
83,23,46,59,82,4,0
84,23,62,54,70,7,1
85,23,60,75,60,5,0
86,19,68,91,72,7,1
87,21,61,72,65,7,0
88,23,63,79,94,1,0
89,22,74,87,70,1,0
90,24,48,69,78,3,1
91,19,76,68,89,10,1
92,19,82,75,61,2,1
93,21,89,77,49,7,1
94,19,32,53,76,3,1
95,19,62,73,78,7,1
96,23,35,69,67,9,1
97,21,28,60,60,1,0
98,23,67,69,75,3,0
99,24,59,56,71,6,1
100,24,69,51,75,9,1
101,23,72,70,60,5,1
102,24,83,80,75,3,0
103,21,65,65,80,8,0
104,18,100,58,56,5,1
105,23,69,60,86,6,0
106,22,92,76,74,2,1
107,22,30,90,80,4,0
108,19,85,79,59,1,0
109,24,62,85,78,4,0
110,22,35,57,55,1,0
111,19,71,69,62,4,0
112,18,60,82,74,2,0
113,21,73,53,69,6,1
114,21,80,62,72,6,1
115,21,42,81,91,8,0
116,22,80,73,72,9,0
117,18,65,58,79,8,1
118,22,85,50,71,1,0
119,24,61,86,71,3,1
120,22,57,45,62,6,1
121,18,65,77,75,1,1
122,18,66,63,97,8,1
123,24,55,82,72,6,1
124,18,57,57,69,1,0
125,18,46,100,83,10,1
126,21,58,74,82,2,0
127,24,75,76,76,6,1
128,20,62,60,68,10,0
129,20,80,68,83,8,1
130,18,62,68,73,5,0
131,20,43,91,81,1,0
132,20,73,74,63,10,1
133,18,54,76,66,2,1
134,20,61,76,72,4,0
135,22,83,77,59,4,1
136,19,47,53,68,7,0
137,24,67,94,59,2,1
138,19,64,59,56,7,1
139,18,75,69,96,7,1
140,21,77,88,65,7,0
141,24,68,93,66,3,1
142,18,59,79,72,6,1
143,21,72,63,61,6,1
144,19,85,71,66,4,0
145,18,64,72,90,1,1
146,24,60,72,75,9,1
147,24,70,55,81,2,0
148,23,65,85,87,9,1
149,22,44,71,74,8,1
150,20,68,61,69,1,0
151,21,44,64,57,7,1
152,23,70,73,68,10,1
153,20,53,53,70,3,0
154,20,65,80,63,10,1
155,18,70,72,87,10,1
156,20,100,88,83,9,1
157,22,76,70,81,5,0
158,24,85,56,70,3,0
159,23,93,55,61,8,1
160,20,72,65,85,3,1
161,18,69,66,75,7,0
162,22,48,63,79,7,1
163,19,63,71,78,7,1
164,24,54,62,75,1,0
